@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute class {class_0,class_1}

@data
0.333333,-0.058824,0,-0.593407,-1,0,0.333333,-0.333333,-1,-0.857143,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.411765,0,-0.692308,-1,0,-1,-0.333333,-1,-0.821429,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,class_0
1,-0.823529,0,-0.868132,-1,0,-0.333333,1,0.333333,0.607143,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.764706,0,-0.956044,-1,-0.5,1,-1,-1,-0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,class_0
-1,-0.764706,0,-0.89011,1,0,-0.333333,1,-0.333333,-0.857143,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
1,-0.764706,0,-0.945055,-1,0,0.333333,-0.333333,-1,-0.607143,-1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.411765,0.5,-0.692308,1,0,0.333333,1,-1,-0.535714,1,-0.333333,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.676471,0,-0.505495,-1,0,0.333333,-0.333333,0.333333,-0.607143,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,class_0
1,-0.058824,-1,-0.736264,-1,0,0.333333,-0.333333,0.333333,-0.714286,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.411765,0,-0.681319,-1,-0.5,0.333333,-1,1,-0.892857,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,class_0
1,-0.852941,0,-0.747253,0,1,0.333333,1,1,0.142857,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,class_0
1,-0.764706,0,-0.791209,-0.5,0.5,0.333333,-1,1,-0.428571,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.588235,0,-0.923077,-1,0,1,-0.333333,-1,-0.785714,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,class_0
1,-1,1,-0.857143,-1,0.5,0.333333,-1,-1,-0.178571,1,0.333333,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.764706,1,-0.879121,-1,0,-0.333333,-0.333333,-0.333333,-0.428571,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.235294,0,-0.747253,-1,1,0.333333,0.333333,-0.333333,-0.285714,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,class_0
1,-0.941176,0,-0.846154,-1,0.5,0.333333,-0.333333,-0.333333,0.142857,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.764706,1,-0.89011,-1,0,-0.333333,-0.333333,-1,-0.714286,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.764706,-0.5,-0.648352,0,0,-0.333333,0.333333,-1,-0.428571,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.411765,0,-0.879121,-1,0.5,0.333333,-1,-1,-0.785714,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.764706,1,-0.945055,-1,1,0.333333,1,-1,0.178571,1,0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.941176,-1,-0.89011,-0.5,0,0.333333,-1,1,-0.428571,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,class_0
0.333333,-0.411765,0,-0.813187,-1,0,0.333333,-0.333333,-1,-0.75,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.941176,1,-0.945055,0.5,0.5,-0.333333,1,-1,-0.285714,1,-0.333333,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,class_0
0.333333,-0.764706,0,-0.769231,-1,0,-0.333333,-0.333333,0.333333,-0.035714,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.411765,0.5,-0.56044,-0.5,0,0.333333,0.333333,-0.333333,-0.428571,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.852941,0,-0.802198,1,0.5,0.333333,-1,0.333333,-0.821429,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,0.647059,0.5,-0.208791,1,0,0.333333,-1,-1,-0.714286,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.411765,1,-0.725275,-1,0,0.333333,-0.333333,-1,-0.428571,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.676471,0,-0.604396,-0.5,-0.5,-0.333333,1,0.333333,-0.857143,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,class_0
1,-0.794118,1,-0.89011,-0.5,-1,-0.333333,1,-1,0.357143,1,0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
-1,-0.764706,0,-0.835165,-1,0,0.333333,-0.333333,-1,-0.714286,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.411765,0,-0.846154,-1,1,-0.333333,1,0.333333,0.285714,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.588235,1,-0.43956,-1,1,0.333333,1,1,-0.392857,1,0.333333,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,class_0
1,-0.764706,1,-0.725275,-1,1,-0.333333,1,1,0.357143,-1,0.333333,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,class_0
1,-0.823529,1,-0.89011,-1,1,0.333333,1,-1,-0.535714,1,-0.333333,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.058824,1,-0.32967,1,1,0.333333,1,-1,-0.392857,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.411765,0,-0.857143,-1,-0.5,-0.333333,0.333333,0.333333,-0.321429,0,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.411765,0,-0.912088,1,1,0.333333,-0.333333,0.333333,-0.785714,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.588235,0,-0.725275,1,0.5,0.333333,0.333333,-0.333333,-0.535714,1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.764706,1,-0.868132,0,0.5,-0.333333,1,0.333333,-0.357143,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
-0.333333,0.294118,-0.5,0.318681,1,-1,0.333333,1,1,-0.392857,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,class_0
1,-0.852941,0,-0.725275,-1,0,0.333333,-0.333333,-1,-0.535714,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.588235,1,-0.758242,-1,0,-0.333333,-0.333333,0.333333,-0.75,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.764706,0,-0.879121,1,1,-1,1,-0.333333,0.071429,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.411765,0,-0.813187,-0.5,0,0.333333,1,0.333333,-0.642857,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,class_0
1,-0.676471,1,-0.648352,0.5,1,0.333333,1,1,-0.857143,1,-0.333333,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,class_0
1,-0.764706,0,-0.846154,-1,0,0.333333,-0.333333,-1,0.107143,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
0.333333,-0.588235,-0.5,-0.868132,1,0.5,0.333333,1,0.333333,0.071429,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.676471,1,-0.857143,1,1,0.333333,1,-0.333333,0.571429,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.411765,1,-0.593407,-0.5,-0.5,-1,-0.333333,0.333333,-0.357143,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,0.264706,0,0.153846,-1,-0.5,-0.333333,-1,-1,-0.428571,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,class_0
-1,0.294118,0,-0.494505,-1,0.5,0.333333,0.333333,-0.333333,-0.75,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,0.294118,0.5,-0.186813,-0.5,-1,0.333333,1,1,-0.571429,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,class_0
-0.333333,-0.764706,0,-0.901099,-1,0,-0.333333,1,-1,0.071429,1,-0.333333,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,class_0
1,-0.764706,0,-0.901099,-1,0,1,-0.333333,-1,-0.75,1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.411765,1,-0.318681,-1,1,-0.333333,1,1,-0.107143,1,-0.333333,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,class_0
0.333333,0.117647,1,-0.494505,-1,1,0.333333,1,1,0.321429,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,class_0
1,0.294118,1,-0.186813,1,1,-1,-0.333333,0.333333,-0.035714,-1,-0.333333,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,class_0
1,-0.764706,0,-0.505495,1,-0.5,-0.333333,1,0.333333,-0.964286,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,class_0
1,-0.823529,0,-0.879121,1,1,0.333333,-0.333333,-0.333333,-0.071429,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,class_0
1,-0.588235,0,-0.747253,-1,0,0.333333,1,-1,-0.142857,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.5,1,-0.725275,0.5,0.5,0.333333,-0.333333,0.333333,-0.535714,1,-0.333333,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.941176,0,-0.945055,-1,-1,-0.333333,1,-1,0.25,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,class_0
-1,-0.823529,1,-0.912088,-1,0.5,0.333333,0.333333,-0.333333,0.071429,1,-0.333333,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,class_0
1,-0.941176,0,-0.857143,0.5,0,-1,-0.333333,-1,-0.5,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.235294,0,-0.494505,1,0.5,-0.333333,1,-0.333333,-0.821429,0,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,class_0
-0.333333,-0.852941,0,-0.989011,-1,0,1,1,-1,-0.892857,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,class_0
-0.333333,0.294118,0,-0.428571,1,-1,0.333333,1,1,-0.25,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,class_0
1,-0.411765,0,-0.417582,-0.5,0,0.333333,-1,0.333333,-0.785714,0,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
0.333333,-0.411765,0,-0.615385,-1,-0.5,-0.333333,1,0.333333,-0.75,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
0.333333,-1,0,-0.857143,1,-0.5,0.333333,-0.333333,-1,-0.642857,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,class_0
-1,-0.764706,0,-0.945055,-1,0,0.333333,0.333333,-0.333333,-0.321429,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,class_0
-0.333333,-0.411765,0,-0.538462,1,0,-0.333333,1,-0.333333,0.035714,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.764706,1,-0.945055,-1,0,0.333333,-0.333333,0.333333,-0.535714,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.676471,0.5,-0.626374,-1,1,-0.333333,1,-0.333333,-0.714286,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
-1,-0.411765,0,-0.703297,-1,0.5,0.333333,-1,1,-0.464286,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,class_0
-1,-0.588235,0,-0.725275,0.5,0,0.333333,-0.333333,0.333333,-0.678571,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.588235,1,-0.912088,-1,0,-0.333333,0.333333,-1,-0.392857,1,-0.333333,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.882353,1,-0.648352,-1,0.5,0.333333,1,-1,-0.285714,1,-0.333333,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.764706,1,-0.384615,1,1,0.333333,1,-0.333333,0.071429,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
1,-0.411765,0,-0.857143,0.5,0.5,-0.333333,0.333333,0.333333,-0.464286,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,class_0
0.333333,-0.058824,0,-0.527473,-1,1,0.333333,-0.333333,0.333333,-0.571429,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.941176,0,-0.901099,-1,1,0.333333,1,0.333333,-0.678571,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.411765,1,-0.296703,-1,-1,0.333333,1,1,1,1,-0.333333,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,class_0
-0.333333,-0.735294,0,-0.791209,-1,-0.5,-0.333333,1,-0.333333,-0.857143,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,class_0
-1,-0.411765,0,-0.56044,-1,0,0.333333,1,-0.333333,-0.678571,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.823529,0,-0.857143,-1,0,-1,-0.333333,0.333333,-0.571429,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
-0.333333,-0.411765,1,-0.395604,-1,-0.5,-0.333333,1,1,-0.821429,1,-0.333333,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,class_0
-1,-0.5,0,-0.626374,-1,0.5,-0.333333,1,0.333333,-0.75,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,class_0
-0.333333,-0.588235,0,-0.67033,0,-0.5,1,0.333333,-1,-0.785714,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
-0.333333,-0.588235,0,-0.538462,-1,1,0.333333,-1,-1,-0.5,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,class_0
0.333333,-0.823529,0,-0.593407,-1,-0.5,0.333333,-1,-0.333333,-0.357143,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,class_0
1,-0.676471,1,-0.857143,-1,0,-0.333333,-0.333333,0.333333,-0.142857,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
-0.333333,-0.735294,1,-0.923077,-1,-0.5,0.333333,1,-1,-0.857143,1,-0.333333,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.411765,0,-0.604396,0,-1,-0.333333,1,1,-0.857143,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,class_0
1,-0.941176,0.5,-0.835165,-0.5,0,0.333333,-0.333333,-1,-0.464286,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.852941,0,-0.89011,-1,-0.5,-0.333333,1,-1,-0.857143,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
1,-0.588235,1,-0.67033,1,-1,0.333333,1,1,-0.321429,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,class_0
1,-0.823529,0,-0.945055,0,1,0.333333,1,1,-0.035714,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,class_0
1,-0.764706,1,-0.769231,1,1,0.333333,1,-1,0.071429,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,class_0
1,-0.764706,0,-0.934066,-1,0,1,-0.333333,-1,-0.678571,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.588235,0,-0.89011,1,0,0.333333,1,1,0.5,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,class_0
0.333333,-0.764706,0,-0.648352,1,1,0.333333,0.333333,0.333333,-0.357143,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,class_0
0.333333,-0.764706,0.5,-0.78022,-1,0,-0.333333,-0.333333,0.333333,-0.392857,0,-0.333333,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.941176,0,-0.824176,-1,0,1,-0.333333,-0.333333,-0.928571,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
1,-0.764706,0,-0.857143,-1,0.5,0.333333,1,0.333333,-0.392857,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.588235,1,-0.604396,-1,0.5,0.333333,-1,0.333333,-0.714286,1,-0.333333,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.588235,0,-0.626374,-1,-0.5,-0.333333,1,0.333333,-0.892857,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
-0.333333,-0.588235,0,-0.692308,-1,0.5,-0.333333,1,-1,-0.25,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
1,-0.058824,0,-0.681319,1,0,0.333333,1,-1,-0.392857,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.588235,1,-0.351648,-1,1,0.333333,1,0.333333,-0.5,1,-0.333333,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.823529,1,-0.791209,-1,-0.5,-0.333333,0.333333,-1,-0.857143,1,-0.333333,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
1,0.647059,1,0.494505,1,1,0.333333,1,1,0.571429,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,class_0
1,-0.588235,0.5,-0.769231,-1,-1,1,0.333333,-1,-0.464286,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.911765,0.5,-0.934066,1,1,0.333333,1,1,-0.392857,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,class_0
1,-0.941176,1,-0.978022,-0.5,0,-0.333333,1,0.333333,0.178571,1,-0.333333,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,class_0
-1,-0.529412,0,-0.78022,1,0.5,0.333333,1,0.333333,-0.285714,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.470588,0,-0.879121,1,0.5,-0.333333,1,-0.333333,-0.785714,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,class_0
0.333333,-0.764706,0,-0.879121,-1,-0.5,0.333333,-1,-1,-0.75,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.235294,0.5,-0.549451,-0.5,0,0.333333,-0.333333,-0.333333,-0.75,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.588235,1,-0.78022,-1,0,-0.333333,-1,0.333333,-0.785714,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.588235,0,-0.901099,1,-0.5,-0.333333,-0.333333,-1,-0.928571,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
-0.333333,-0.588235,1,-0.208791,-1,-1,0.333333,1,-0.333333,-0.25,0,-0.333333,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,class_0
-0.333333,-0.676471,1,-0.769231,0,0,0.333333,1,0.333333,-0.714286,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.852941,0,-0.868132,-1,0.5,-0.333333,-0.333333,0.333333,-0.714286,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.588235,0,-0.824176,-1,0,1,-0.333333,-0.333333,-0.607143,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,class_0
-0.333333,-0.764706,0,-0.912088,0.5,-0.5,-0.333333,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,class_0
-1,-0.058824,0,-0.67033,-1,0.5,0.333333,1,1,-0.285714,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,class_0
-1,-0.941176,1,-0.802198,-1,0.5,-0.333333,1,0.333333,-0.571429,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.852941,1,-0.758242,-1,-1,0.333333,0.333333,0.333333,-0.571429,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,class_0
-0.333333,0.029412,0.5,0.274725,-0.5,0.5,0.333333,0.333333,1,-0.535714,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
-1,-0.764706,0,-0.736264,-1,-1,-0.333333,1,1,0.285714,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,class_0
-1,-0.058824,1,-0.769231,-1,0,1,-0.333333,-0.333333,-0.035714,1,-0.333333,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.411765,1,-0.857143,0.5,0,-0.333333,-1,-1,-0.142857,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.588235,0,-0.857143,-1,-0.5,1,1,-1,-0.285714,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.588235,1,-0.813187,1,0,1,1,-1,-0.678571,-1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.705882,0.5,-0.934066,-1,0,0.333333,-0.333333,0.333333,-0.714286,1,-0.333333,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,class_0
-0.333333,-0.588235,0.5,-0.703297,1,1,0.333333,1,0.333333,-0.142857,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.411765,1,-0.78022,1,0.5,0.333333,1,0.333333,-0.142857,1,-0.333333,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.676471,0,-0.901099,-1,-0.5,1,-0.333333,-1,-0.714286,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.411765,0,-0.67033,0,1,-1,-0.333333,0.333333,-0.75,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,class_0
-0.333333,-0.411765,0,-0.802198,-1,1,-0.333333,1,0.333333,-0.964286,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.147059,1,-0.21978,-1,0.5,0.333333,-0.333333,0.333333,-0.428571,1,-0.333333,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,class_0
1,-0.823529,0,-0.846154,0,0,0.333333,-0.333333,1,-0.25,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,class_0
1,-0.058824,1,-0.384615,-1,1,0.333333,-0.333333,-0.333333,-0.428571,1,-0.333333,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.588235,0.5,-0.087912,1,0,-0.333333,-0.333333,0.333333,-0.857143,1,-0.333333,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,class_0
1,-0.5,0,-0.714286,0,0.5,-0.333333,-0.333333,0.333333,-0.571429,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,class_0
1,-0.676471,0,-0.67033,0.5,0.5,-0.333333,0.333333,0.333333,-0.964286,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,class_0
-0.333333,-0.764706,0,-0.802198,1,0,0.333333,-0.333333,0.333333,-0.607143,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.764706,1,-0.912088,-1,0.5,0.333333,0.333333,-1,0,1,-0.333333,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,class_0
1,-0.5,0.5,-0.846154,-0.5,0.5,0.333333,0.333333,-1,-0.464286,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,class_0
-0.333333,-0.588235,0,-0.714286,-1,0,1,0.333333,0.333333,-0.928571,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,class_0
1,-0.294118,1,-0.725275,-1,1,0.333333,-0.333333,0.333333,-0.642857,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.588235,1,-0.901099,0.5,0,0.333333,0.333333,-1,-0.035714,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.852941,0,-0.879121,-1,1,0.333333,1,0.333333,-0.964286,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.970588,0,-0.648352,-1,0.5,0.333333,1,-1,0.964286,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
-1,-0.941176,1,-0.813187,-1,-1,0.333333,1,1,-0.392857,1,0.333333,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,class_0
1,-0.411765,1,-0.791209,-1,0,-1,-0.333333,-1,-0.5,1,-0.333333,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.852941,0,-0.791209,-1,0,0.333333,-0.333333,-1,-0.785714,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.941176,0,-0.945055,0,0.5,1,1,-1,-0.857143,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,class_0
1,-0.411765,1,-0.879121,0.5,1,-0.333333,1,-1,-0.357143,1,-0.333333,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,class_0
