@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute class {class_0,class_1}

@data
0,0,39.3,64,90,1,2,0,0,0,2,0,0,1,5,1,4,39,6.7,2,1.6,0,class_1
0,0,38.4,80,30,3,2,0,0,2,2,2,2,2,3,3,4,32,6.1,2,4.3,0,class_1
0,0,38.5,60,12,0,0,3,0,2,0,0,0,2,4.3,3,2,33,53,0,1.8,0,class_1
0,0,38.3,60,16,2,0,0,0,1,0,0,1,1,3,0,3,30,6,0,3,0,class_1
0,0,37.1,40,8,1,0,3,0,2,2,0,0,0,6.2,2,2,23,6.7,2,5,0,class_1
0,0,38.2,48,18,0,0,0,0,2,2,2,0,1,7.5,3,4,48,74,0,2,0,class_1
0,0,37.2,60,48,2,2,3,1,3,2,3,1,0,3,3,3,58,7.6,1,7.4,1,class_1
1,0,38.5,96,36,2,2,5,1,1,3,1,0,1,3.5,3,4,70,8.5,2,5.2,1,class_1
0,0,37.3,48,12,0,0,2,0,2,0,2,1,0,5.9,2,2,40,6.6,1,8,0,class_1
0,0,38.5,86,12,0,0,2,0,3,3,2,1,0,6.5,2,4,45,7.4,0,3.4,1,class_1
0,0,37.5,48,40,0,2,0,1,2,2,0,0,0,5.5,3,4,41,55,2,2,2,class_1
0,0,39.2,90,23,2,0,2,0,3,3,1,1,0,6.5,0,2,36,6.6,0,3,0,class_1
0,0,38.5,96,30,1,2,3,1,3,3,2,1,0,6.5,2,4,50,65,2,1.8,0,class_1
0,0,38.5,184,24,0,0,0,0,2,0,2,1,1,5,3,4,45,8.7,2,1,1,class_1
0,0,37.8,88,80,2,2,4,1,0,2,2,1,2,5,3,4,64,89,2,2,2,class_1
0,0,37.9,68,20,1,0,1,0,1,3,1,1,0,7.2,0,4,45,4,2,2.8,1,class_1
0,0,38,86,24,3,2,3,0,1,3,3,0,0,7.5,3,4,45,5.5,0,10.1,1,class_1
0,0,37.6,45,12,2,0,2,0,1,1,1,1,0,6,0,3,39,7,1,1.5,0,class_1
0,0,37.8,40,12,0,0,0,0,0,1,0,1,0,7,0,1,38,7,2,2.6,0,class_1
0,0,38,76,18,2,2,1,1,2,2,2,1,2,2,3,2,71,11,2,1.4,0,class_1
0,0,38.1,40,36,0,1,1,0,1,1,0,0,1,2,3,3,40,55,0,2,2,class_1
0,0,37.1,52,28,2,2,3,0,2,3,2,1,0,3,3,3,37,8.1,1,3.3,0,class_1
0,0,38.5,92,40,3,2,2,0,1,3,2,1,2,5.4,3,2,46,67,1,2,0,class_1
0,0,37.6,112,13,3,3,3,0,1,2,0,1,0,4.5,3,3,60,6.3,2,3.4,0,class_1
0,0,37.7,66,12,0,0,2,0,2,2,1,1,0,7.5,3,3,31.5,6.2,1,1.6,0,class_1
0,0,38.8,50,14,0,0,0,0,2,0,0,0,0,6.5,2,4,38,58,1,3.3,0,class_1
0,0,39.2,120,20,3,2,4,1,1,2,2,0,2,2,0,3,60,8.8,2,2.1,1,class_1
0,1,37.5,55,18,2,2,3,0,1,2,2,1,2,4.3,1,3,45,6.5,1,5,0,class_1
0,0,37.3,90,40,2,0,5,1,4,3,2,1,1,5.5,0,4,65,50,2,2,2,class_1
0,1,38.5,120,70,2,0,0,0,3,0,0,1,2,5.9,0,3,35,54,0,1,0,class_1
0,0,38.5,104,40,2,2,0,0,3,2,3,1,2,3,3,4,37,6,2,1.1,0,class_1
0,0,38.5,30,18,2,3,2,0,0,2,1,0,0,6.5,0,0,40,7.7,0,6.5,0,class_1
0,0,38.3,72,30,3,2,2,1,2,2,2,1,0,5,2,4,43,7,1,3.9,0,class_1
0,0,38.1,52,24,0,0,4,0,3,2,0,1,2,7,0,0,54,7.5,1,2.6,1,class_1
1,0,36.1,88,96,2,2,2,0,2,2,1,1,2,6,0,3,45,7,2,4.8,2,class_1
0,0,38.1,70,22,0,0,2,0,4,2,2,1,2,5,3,4,36,65,2,1,2,class_1
0,0,38,90,30,3,2,3,1,4,3,3,1,2,7.5,3,4,55,6.1,2,1,1,class_1
0,0,36.6,36,32,0,0,3,0,4,2,2,1,2,4,2,3,41,5.9,1,1,1,class_1
0,0,38.4,92,20,0,0,2,1,1,2,2,1,2,1.5,0,0,74,76,1,2,0,class_1
0,1,38.2,124,88,0,2,1,0,1,2,3,1,2,5.5,2,4,47,8,0,1,0,class_1
1,0,37.2,96,40,2,2,2,1,4,3,3,1,0,2,3,4,60,60,2,6.5,1,class_1
0,0,37.6,68,32,2,0,2,0,3,1,3,1,1,6.5,0,4,47,7.2,0,10.1,0,class_1
0,0,38.1,88,24,2,2,3,0,4,3,2,1,0,7,2,3,41,4.6,0,6.5,1,class_1
0,0,38,108,60,1,2,3,0,3,2,2,1,2,2,2,3,35,75,2,3.4,0,class_1
0,0,39.3,100,51,3,3,5,0,1,3,0,0,2,2,3,3,66,13,2,2,2,class_1
1,0,36.6,42,18,2,2,1,0,0,3,0,0,0,2,0,4,52,7.1,2,4.8,1,class_1
0,1,38.8,124,36,2,0,1,0,1,2,3,0,0,8.5,3,3,50,7.6,2,5.7,1,class_1
0,0,37.7,80,28,2,2,2,0,3,3,3,2,2,7,3,4,43,70,2,3.3,0,class_1
0,1,38.8,184,84,0,0,0,0,3,0,2,0,0,7.5,1,4,33,3.3,0,6.5,1,class_1
0,0,37.5,72,30,1,0,0,0,1,0,0,0,0,6.5,0,2,35,65,1,2,2,class_1
0,0,38.7,96,28,2,2,3,0,2,3,2,1,2,7.5,0,4,64,9,1,1.1,1,class_1
0,0,40.8,72,42,2,2,0,0,1,2,0,1,0,8.5,2,1,54,7.4,2,2,1,class_1
0,0,37.1,75,36,2,3,2,1,3,3,1,1,2,5,3,3,48,7.4,2,3.2,1,class_1
0,0,38.3,44,21,2,0,1,0,2,2,2,1,0,5.3,0,4,44,6.5,1,4.4,0,class_1
1,0,38.9,56,68,2,0,0,0,2,2,0,1,0,8,0,0,40,6,2,2.8,2,class_1
0,0,39.3,64,90,1,2,0,0,2,2,0,0,1,6.5,0,4,39,6.7,2,1,0,class_1
0,0,37.5,60,50,2,2,0,0,2,2,1,1,1,3.5,2,3,35,6.5,2,2,1,class_1
0,0,37.7,80,20,2,2,5,0,4,3,0,1,2,6.5,2,0,50,55,2,2,0,class_1
0,0,37.8,100,30,2,2,3,1,4,3,3,2,2,3,3,3,52,6.6,0,2,0,class_1
0,0,37.7,120,28,2,2,2,0,4,2,2,0,0,5,0,2,65,7,2,3.2,1,class_1
0,0,37.7,76,84,2,2,4,0,3,3,3,2,1,1.5,3,4,30,6.8,2,1,2,class_1
0,1,38.8,150,50,0,2,5,1,4,2,1,0,0,3,2,4,50,6.2,0,2.8,1,class_1
1,0,40,78,24,2,2,4,0,1,2,0,0,0,4.5,3,0,66,6.5,0,4.7,1,class_1
0,0,38.2,70,16,2,3,4,1,1,2,1,1,0,5.3,3,4,60,7.5,0,1,1,class_1
0,0,38.2,72,18,2,2,5,0,1,0,1,2,0,7,3,3,35,6.4,0,3.7,0,class_1
0,0,38.5,66,24,0,0,0,0,2,2,0,1,0,7.5,3,4,40,6.7,0,1.8,0,class_1
1,0,37.8,82,12,2,0,0,1,3,3,2,0,2,2,2,3,50,7,0,2,2,class_1
0,0,37.7,88,14,3,3,3,0,1,0,0,1,2,5.3,2,4,48,56,1,2,0,class_1
0,0,38,50,36,2,0,0,0,2,1,1,1,0,5,2,4,39,6.6,0,5.3,0,class_1
0,0,38.9,80,44,2,2,2,0,1,2,2,1,1,7,2,0,54,6.5,2,2,1,class_1
0,0,37,66,20,0,2,1,0,3,2,2,0,0,3,0,4,35,6.9,1,2,1,class_1
1,0,37.2,72,24,2,1,3,1,3,2,2,2,0,2,3,3,44,6,2,3.3,2,class_1
0,0,37.5,72,30,3,2,3,0,3,3,2,1,0,7,2,4,60,6.8,0,1.1,1,class_1
0,0,36.5,100,24,2,2,2,0,2,2,2,2,0,4.5,3,3,50,6,2,3.4,0,class_1
0,0,37.7,44,28,1,3,2,1,4,3,3,0,0,5.8,2,4,45,70,2,2,0,class_1
0,0,38.1,60,40,2,0,0,0,3,3,0,2,1,5,3,4,42,72,2,4.1,0,class_1
1,0,38,65,40,2,0,3,1,1,2,0,0,1,6.5,2,4,48,69,0,2,0,class_1
1,0,37.9,45,36,2,2,2,1,1,2,0,1,0,5.5,2,0,33,5.7,2,2.1,0,class_1
1,0,39,84,12,2,0,4,0,1,3,1,0,1,7,0,3,62,5.9,1,2.2,1,class_1
0,0,37.9,120,60,2,2,2,0,4,3,3,1,1,7.5,3,4,52,6.6,2,1.8,1,class_1
0,0,38.3,66,30,1,2,0,0,1,3,2,2,1,8.5,3,4,37,6,2,8,0,class_1
0,0,37.5,88,20,1,2,2,0,3,2,2,1,0,7,3,2,35,6.4,0,4.6,1,class_1
1,1,38.6,150,60,3,3,3,1,4,3,3,1,0,7,0,4,45,6.9,1,2.6,1,class_1
0,0,39.7,100,30,0,0,5,1,3,3,2,0,0,5,3,4,65,75,2,4.7,2,class_1
0,0,38.3,80,12,2,2,3,1,4,3,2,1,0,5,3,3,45,7.5,1,4.6,0,class_1
1,0,37.5,40,32,2,0,2,0,2,1,2,1,0,6.5,3,4,32,6.4,0,1.1,0,class_1
0,0,38.4,84,30,2,0,4,1,3,2,2,1,2,6.5,3,3,47,7.5,2,3.2,1,class_1
0,0,38.1,84,44,3,0,3,1,4,2,0,0,2,5,3,3,60,6.8,1,5.7,1,class_1
0,0,38.2,60,24,0,0,2,0,1,0,0,0,0,3.5,3,3,43,6.2,1,3.9,0,class_1
0,0,39.1,60,10,0,0,0,0,1,2,2,2,2,7.2,3,3,40,73,2,1,0,class_1
0,0,38.2,76,30,1,2,1,0,4,2,2,0,1,6,0,4,35,6.5,1,0.9,0,class_1
0,0,38,80,30,2,2,2,0,1,2,0,1,1,6,3,3,48,8.3,1,4.3,0,class_1
0,0,37.2,42,18,2,0,0,0,1,2,2,0,2,6,3,3,59,6,1,2,1,class_1
0,0,37.6,40,16,0,0,0,0,0,0,0,1,0,7,0,0,35,4.6,1,2.1,0,class_1
0,0,40,48,96,0,0,2,0,3,3,0,1,0,6.5,0,3,42,8,0,2,0,class_1
0,0,37.7,55,28,1,0,1,0,1,2,2,0,2,5,3,4,53,70,2,2.6,0,class_1
1,0,36,100,20,3,2,5,1,1,3,2,0,0,5,3,4,74,5.7,1,2.5,2,class_1
0,0,37.1,60,20,1,0,3,0,2,2,2,2,1,5,2,3,64,8.5,1,1.1,0,class_1
0,0,38.1,72,30,2,2,2,0,3,3,2,1,0,5.5,2,4,37,56,2,1,0,class_1
0,0,37,44,12,2,0,0,1,0,0,0,1,1,5.7,3,1,40,6.7,2,8,0,class_1
0,0,38.6,48,20,2,0,0,0,3,2,0,1,0,7,2,4,37,75,1,2,0,class_1
0,0,38.6,82,72,2,0,3,0,1,2,2,1,2,5.5,3,3,53,65,2,2,2,class_1
0,1,38.2,78,60,3,3,5,0,2,2,2,1,0,3,0,3,59,5.8,2,3.1,1,class_1
0,0,38.7,34,30,1,0,2,0,1,2,2,0,0,7.5,2,3,33,69,1,2,2,class_1
0,0,37.6,36,12,0,0,0,0,0,1,0,0,0,3,0,4,44,6.8,0,2.6,0,class_1
1,0,38.3,44,60,2,0,0,0,1,2,0,1,1,1.5,3,3,6.4,36,0,2,0,class_1
1,0,37.4,54,18,2,0,0,0,2,3,2,1,1,7.2,3,4,30,7.1,1,4.6,0,class_1
0,0,38.5,54,30,3,2,2,1,1,3,0,1,0,7,0,0,54,76,2,2,0,class_1
0,0,36.6,48,16,2,0,2,0,3,0,0,0,0,7.5,2,4,27,56,1,4.3,2,class_1
0,0,38.5,90,24,0,0,2,0,2,2,2,1,2,2,3,4,47,79,2,2,0,class_1
0,0,38,75,12,0,0,3,0,4,2,2,0,2,5.8,2,3,58,8.5,0,1.8,0,class_1
0,1,38.2,78,60,3,3,5,0,2,2,2,1,0,7,0,2,59,5.8,2,3.1,1,class_1
1,0,38.6,60,30,0,0,2,0,3,1,1,0,0,5,0,3,40,6,0,1.6,0,class_1
0,0,38,60,12,0,0,1,0,1,0,0,0,0,3,0,3,44,65,2,2,2,class_1
1,0,37.6,88,36,2,0,0,0,2,2,1,0,2,1.5,3,3,44,6,2,1,1,class_1
