@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute class {class_0,class_1,class_2,class_3}

@data
295,877,1,0,12912,1,0,0,0,2,2.4,646,3.83,102,855,127,194,306,10.3,class_1
298,1300,0,1,19258,0,0,1,0,2,1.1,340,3.37,73,289,97,93,243,10.2,class_1
299,1293,0,0,13913,0,0,0,0,2,2.4,342,3.76,90,1653,150,127,213,10.8,class_1
304,1230,0,0,12979,0,0,0,0,2,0.5,219,3.93,22,663,45,75,246,10.8,class_1
305,1216,0,1,15730,0,0,1,1,2,2.9,426,3.61,73,5184,288,144,275,10.6,class_1
320,2403,0,1,16071,0,0,1,0,1,0.4,350,3.81,90,688,128,118,226,10.5,class_1
326,1236,0,1,18993,0,0,0,0,2,1.5,434,3.42,123,2412,85,146,246,10.3,class_1
342,3231,0,0,18263,0,0,1,0,2,0.9,340,4.01,52,718,145,117,244,10.5,class_1
344,3157,0,1,13149,0,0,0,0,2,8.9,280,3.76,234,836,83.7,75,209,10.6,class_1
350,662,2,1,17532,0,0,1,0,2,2.1,340,4.1,50,884,237.15,95,200,9,class_1
355,2338,0,0,14245,0,0,0,1,2,1.6,339,3.75,136,1257,79.05,104,145,10.4,class_1
358,2537,0,1,23376,0,0,1,0,2,0.8,328,3.49,50,1713,51.15,106,314,10.3,class_1
363,2249,0,0,16071,0,0,1,0,2,0.6,239,3.5,65,820,79.05,101,150,9.9,class_1
365,1925,0,1,23011,0,0,1,0,2,0.9,339,3.58,25,1653,71,322,224,10,class_1
366,249,2,1,22280,0,0,0,1,2,1.3,347,3.01,172,5300,83.7,93,223,10.7,class_1
367,2202,0,1,23376,0,0,0,1,2,1.1,318,3.49,41,797,102.3,127,166,9.8,class_1
370,1095,2,1,18263,0,0,0,0,2,16,442,3.36,42,855,127,127,384,10,class_1
374,1980,0,1,18628,0,0,0,0,2,0.7,239,3.1,22,3150,203.05,214,274,10.6,class_1
375,1347,1,0,18993,0,0,0,0,2,1.7,502,3.24,50,601,56,140,231,10.5,class_1
376,1478,2,1,16071,1,0,0,0,2,9.5,318,3.63,107,938,150,139,292,10.2,class_1
377,1987,0,0,12053,0,1,1,0,2,2.2,246,3.76,100,938,116.25,242,253,9.9,class_1
380,1725,1,1,12053,0,0,0,0,2,2.9,322,4.08,65,1190,288,139,418,10.5,class_1
385,1635,0,1,20089,0,0,1,0,2,0.7,518,2.93,102,674,56,118,209,10.6,class_1
386,1654,0,0,19724,1,0,0,1,2,1.7,426,2.38,412,1120,127,140,166,9.8,class_1
387,1653,0,0,17897,0,0,0,0,1,13.6,236,3,139,1428,127,101,233,9.9,class_1
390,1419,0,0,24837,1,0,1,0,2,3,1276,3.15,69,1307,26.35,146,139,10,class_1
392,1368,0,1,25202,0,0,0,0,2,0.4,356,3.03,22,1995,140,57,173,10.9,class_1
402,943,0,0,18993,0,0,1,0,2,0.8,299,3.01,172,3510,83,88,256,10.6,class_1
404,1092,0,1,14610,0,0,0,0,2,4.6,350,3.6,67,1257,288,127,337,10.4,class_1
405,1150,0,0,18993,0,0,1,0,2,1,310,3.64,136,1024,97,33,340,10.6,class_1
407,1129,0,1,19724,1,0,1,0,2,1.1,325,3.69,43,1105,130.2,193,220,10.8,class_1
408,1086,0,1,18628,0,0,0,0,1,1.9,296,3.17,129,897,74.4,154,162,10.7,class_1
409,1067,0,1,15706,0,0,1,0,2,0.7,578,3.73,210,1406,128,128,214,10.8,class_1
410,1072,0,0,14245,0,1,0,0,2,1.5,280,3.81,57,688,79.05,85,255,10.8,class_1
411,1119,0,1,18628,0,0,1,0,2,0.6,426,3.57,65,657,89,242,286,10.6,class_1
412,1097,0,1,24472,0,0,0,0,2,1,239,3.58,22,1119,185,106,244,10.8,class_1
413,989,0,1,12784,0,0,1,0,2,0.7,263,3.23,220,676,79.05,118,312,10.8,class_1
414,681,2,1,24472,0,0,0,0,2,1.2,310,2.96,123,1713,136,101,174,10.9,class_1
416,1055,0,1,20819,0,1,0,0,2,1.6,223,3.42,65,1768,45,90,143,9.9,class_1
417,691,0,0,21185,0,0,0,1,2,0.8,1276,3.75,50,1072,137,180,269,10.4,class_1
9,2400,2,0,15526,0,0,0,1,2,3.2,562,3.08,79,2276,144.15,88,251,11,class_2
24,4079,2,0,16261,1,0,1,0,2,2.1,456,4,124,5719,221.88,230,70,9.9,class_2
25,4127,0,1,16463,0,0,0,0,2,0.7,298,4.1,40,661,106.95,66,324,11.3,class_2
29,4509,0,1,23331,0,0,0,0,2,0.7,370,3.78,24,5833,73.53,86,390,10.6,class_2
31,3839,2,1,15177,0,0,1,0,2,4.7,296,3.44,114,9933.2,206.4,101,195,10.3,class_2
34,3933,0,0,19015,0,0,0,0,2,0.8,364,3.7,37,1840,170.5,64,273,10.5,class_2
36,3611,0,1,20604,0,0,0,0,2,0.3,172,3.39,18,558,71.3,96,311,10.6,class_2
43,4556,0,0,17850,0,0,0,0,2,1.1,361,3.64,36,5430.2,67.08,89,203,10.6,class_2
45,4025,0,1,15265,0,0,0,0,2,0.6,442,3.93,19,1826,71.3,95,474,10.9,class_2
51,3853,2,1,19025,0,0,0,0,2,0.8,276,3.6,54,4332,99.33,143,273,10.6,class_2
56,1847,2,1,12279,0,0,1,1,2,1.1,498,3.8,88,13862.4,95.46,319,365,10.6,class_2
70,3458,0,0,20600,0,0,0,0,2,0.6,1000,4.64,20,666,54.25,177,265,10.6,class_2
89,1741,2,0,19155,0,0,1,0,2,2,408,3.65,50,1083,110.05,98,200,11.4,class_2
90,2689,2,0,12227,1,0,0,0,2,1.6,660,4.22,94,1857,151.9,155,337,11,class_2
93,3913,0,0,13344,0,0,0,0,2,1.3,353,3.67,73,2039,232.5,68,380,11.1,class_2
95,130,2,1,16944,0,1,1,1,0,17.4,338,2.64,182,559,119.35,106,401,11.7,class_2
99,3820,0,1,17703,1,0,0,0,2,1.8,460,3.35,148,1472,108.5,118,172,10.2,class_2
104,3086,2,0,15712,0,0,0,0,2,1.1,303,3.64,20,2108,128.65,53,349,11.1,class_2
106,3222,2,0,25023,0,1,1,0,2,2.1,576,3.9,50,1087,103.85,144,137,10.6,class_2
108,2583,2,0,18393,0,0,0,0,2,0.4,127,3.5,14,1062,49.6,84,334,10.3,class_2
127,3255,0,1,16109,0,0,0,0,2,0.5,268,4.08,9,1174,86.8,95,453,10,class_2
134,3149,0,1,15463,0,0,0,0,2,0.7,578,3.67,35,1353,127.1,105,427,10.7,class_2
135,3150,0,0,15694,0,0,0,0,2,0.4,263,3.57,123,836,74.4,121,445,11,class_2
136,3098,0,0,20440,0,0,0,0,2,0.8,263,3.35,27,1636,116.25,69,206,9.8,class_2
137,2990,0,0,22960,0,0,0,0,2,1.1,399,3.6,79,3472,155,152,344,10.1,class_2
141,3050,0,0,17180,0,0,0,0,2,0.9,346,3.77,59,794,125.55,56,336,10.6,class_2
142,2419,2,1,20354,0,0,1,0,2,1,364,3.48,20,720,134.85,88,283,9.9,class_2
147,2995,0,0,27398,0,0,0,0,1,1.2,288,3.37,32,791,57.35,114,213,10.7,class_2
151,2870,0,0,20104,0,0,0,0,2,0.9,460,3.03,57,721,85.25,174,301,9.4,class_2
156,853,2,1,21699,0,0,1,0,2,25.5,358,3.52,219,2468,201.5,205,151,11.5,class_2
157,2835,0,1,17809,0,0,0,0,2,0.6,286,3.42,34,1868,77.5,206,487,10,class_2
158,2475,1,0,13329,0,0,0,0,2,3.4,450,3.37,32,1408,116.25,118,313,11.2,class_2
161,2797,0,1,15612,0,0,0,0,2,2.3,502,3.56,4,964,120.9,180,269,9.6,class_2
166,2721,0,1,15105,0,0,1,0,2,5.7,1480,3.26,84,1960,457.25,108,213,9.5,class_2
168,2713,0,1,17442,0,0,1,0,2,0.4,257,3.8,44,842,97.65,110,224,9.2,class_2
173,2657,0,0,11058,0,0,1,1,2,3,236,3.42,76,1403,89.9,86,493,9.8,class_2
177,2609,0,1,20254,0,0,0,0,2,0.9,258,4.01,49,559,43.4,133,277,10.4,class_2
182,2555,0,0,20799,0,0,1,0,2,0.6,1000,3.69,161,674,26.35,177,539,9.9,class_2
183,2241,1,1,14705,0,0,0,0,2,0.5,201,3.73,44,1345,54.25,145,445,10.1,class_2
190,2504,0,0,19916,0,0,0,1,2,2.3,201,3.93,24,1828,133.3,157,327,10.2,class_2
194,2449,0,0,16216,0,0,0,0,2,1.5,293,4.3,50,975,125.55,56,336,9.1,class_2
197,2365,0,0,16300,0,0,0,0,2,0.6,266,3.97,25,1164,102.3,102,201,10.1,class_2
198,2357,0,1,13075,0,0,0,1,2,0.7,286,2.9,38,1692,141.05,90,381,9.6,class_2
202,2272,0,0,22514,0,0,0,0,2,0.5,223,3.8,15,1044,80.6,89,514,10,class_2
203,2221,0,1,13535,0,0,1,0,2,0.5,149,4.04,227,598,52.7,57,166,9.9,class_2
209,2216,0,1,19221,0,0,1,1,2,0.7,252,4.01,11,1210,72.85,58,309,9.5,class_2
210,2224,0,1,18176,1,0,1,0,2,0.9,346,3.37,81,1098,122.45,90,298,10,class_2
220,1235,2,0,23241,0,0,0,1,2,3.8,426,3.22,96,2716,210.8,113,228,10.6,class_2
225,2022,0,0,14161,0,0,0,0,2,0.7,274,3.66,108,1065,88.35,135,251,10.1,class_2
227,999,2,0,21532,1,0,0,0,2,2.3,316,3.35,172,1601,179.8,63,394,9.7,class_2
234,1776,0,1,12557,0,0,0,0,2,0.9,578,3.35,78,976,116.25,177,322,11.2,class_2
238,1874,0,1,24257,0,0,0,0,1,0.6,280,3.35,97,1093,128.65,81,295,9.8,class_2
251,1457,0,0,20810,0,0,0,0,2,0.5,227,3.61,40,676,83,120,249,9.9,class_2
257,1614,0,0,21281,0,0,0,0,2,0.5,280,4.23,36,377,56,146,227,10.6,class_2
269,1363,0,1,16467,0,0,0,0,2,3.6,374,3.5,143,1428,188,44,151,10.1,class_2
276,1481,0,0,18302,0,0,0,0,2,1,219,3.85,67,640,145,108,95,10.7,class_2
279,1433,0,1,20510,0,0,0,0,2,0.5,198,3.77,38,911,57,56,280,9.8,class_2
288,1067,1,1,17874,0,0,1,0,1,8.7,310,3.89,107,637,117,242,298,9.6,class_2
289,799,2,0,24681,1,0,1,0,1,4,416,3.99,177,960,86,242,269,9.8,class_2
302,1271,0,0,13806,0,0,0,0,2,0.7,335,3.95,43,657,52,104,268,10.6,class_2
306,1216,0,1,20597,0,0,1,0,2,0.6,239,3.45,31,1072,55,64,227,10.7,class_2
307,1149,0,1,11167,0,0,0,0,2,0.8,273,3.56,52,1282,130,59,344,10.5,class_2
308,1153,0,0,22347,0,0,1,0,2,0.4,246,3.58,24,797,91,113,288,10.4,class_2
309,994,0,1,21294,0,0,0,0,2,0.4,260,2.75,41,1166,70,82,231,10.8,class_2
310,939,0,0,22767,0,0,0,0,2,1.7,434,3.35,39,1713,171,100,234,10.2,class_2
311,839,0,0,13879,0,0,0,0,2,2,247,3.16,69,1050,117,88,335,10.5,class_2
312,788,0,1,12109,0,0,0,1,2,6.4,576,3.79,186,2115,136,149,200,10.8,class_2
318,1680,0,0,15706,0,0,0,0,2,0.7,304,3.68,22,1020,142,80,306,9.5,class_2
322,2011,2,1,23376,0,0,1,0,2,1.1,219,3.69,130,1070,140,194,139,10.5,class_2
323,3523,0,1,14610,0,0,0,0,2,0.6,296,4.04,139,1307,74,157,130,11.2,class_2
324,3468,0,0,23011,0,0,0,0,2,0.6,268,3.94,63,2115,134,80,234,11.5,class_2
325,4795,0,1,12419,0,0,0,0,2,1.8,263,3.24,52,1020,83.7,194,183,18,class_2
327,4214,0,1,17897,0,0,1,0,2,1.2,267,3.99,23,1082,91,44,160,11.2,class_2
328,2111,2,0,19724,0,0,0,0,2,1,416,3.6,90,1794,150.35,140,288,12.1,class_2
330,1746,2,0,19724,1,0,1,0,2,3.5,273,3.63,25,1406,142,114,325,10.3,class_2
335,3527,0,1,20089,0,1,1,0,2,0.6,168,4.15,139,1406,79.05,133,280,10.1,class_2
338,791,2,1,17167,0,1,1,1,2,16,223,3.42,67,1768,70,149,475,13.8,class_2
339,3492,0,1,21915,0,0,1,0,2,0.6,646,4.38,58,620,56,80,269,10.6,class_2
340,3495,0,0,19358,0,0,1,0,2,5.4,310,4.19,130,1082,150.35,33,141,11.2,class_2
343,625,2,1,17532,0,0,1,0,2,11.1,347,2.84,141,5184,79.05,113,219,12.2,class_2
345,3021,1,1,17532,0,0,0,0,2,0.5,340,3.76,139,938,170.5,57,388,10.1,class_2
347,2812,2,1,18628,0,0,1,1,2,3.4,232,3.92,103,705,145,80,219,9.3,class_2
348,2834,0,0,18993,1,0,1,0,2,0.9,299,3.14,90,5184,130.2,169,191,12.3,class_2
349,2855,0,0,19724,0,0,0,0,2,1.4,372,3.82,155,897,45,82,249,10.3,class_2
354,990,2,0,21550,0,0,1,0,2,1.3,246,3.12,52,2520,237.15,85,125,9.6,class_2
362,2267,1,1,17897,0,0,1,0,2,18,280,3.04,177,3510,142,151,432,9.7,class_2
372,2149,0,0,13514,0,0,1,0,2,0.6,304,3.55,24,820,74,80,248,10.3,class_2
373,2103,0,1,22646,0,0,1,0,2,0.7,263,3.29,97,688,83,117,190,9.8,class_2
378,1168,2,0,21915,0,0,0,0,1,1.8,432,3.62,161,1713,91,149,225,9.9,class_2
391,1443,0,1,14975,0,0,0,0,2,1.2,198,2.8,141,1282,97,128,120,11,class_2
396,1343,0,0,18263,0,1,0,0,2,1.6,373,3.48,31,1428,52.7,157,277,10.2,class_2
399,1260,0,1,15341,0,0,0,0,2,8.1,201,2.82,123,1136,85,154,193,10.4,class_2
400,1223,0,1,16071,0,0,1,0,2,0.5,212,3.34,69,1105,102.3,75,258,10.6,class_2
52,2386,2,0,18460,1,0,0,0,2,6,614,3.7,158,5084.4,206.4,93,362,10.6,class_3
58,4459,0,0,16279,1,0,0,0,2,0.7,242,4.08,73,5890,56.76,118,214,10.6,class_3
61,4256,0,1,16034,1,0,0,0,2,0.6,216,3.94,28,601,60.45,188,211,13,class_3
65,3992,0,0,14684,0,0,0,0,2,1.2,256,3.6,74,724,141.05,108,430,10,class_3
73,4190,0,1,14060,0,0,0,0,2,0.7,132,3.6,17,423,49.6,56,265,11,class_3
98,3823,0,0,10550,0,0,0,0,2,1,239,3.77,77,1877,97.65,101,312,10.2,class_3
102,3099,0,0,20662,0,0,0,0,2,0.9,248,3.97,172,646,62,84,128,10.1,class_3
107,3388,0,1,22836,0,0,0,0,2,0.6,212,4.03,10,648,71.3,77,316,17.1,class_3
150,2891,0,1,12779,0,0,0,1,2,1,243,3.63,57,1536,134.85,146,233,10,class_3
153,2863,0,0,18118,0,0,0,0,2,0.5,217,3.85,68,453,54.25,68,270,11.1,class_3
174,2644,0,0,20296,0,0,0,0,2,0.5,235,3.85,63,663,79.05,100,311,9.7,class_3
206,2255,0,0,22642,0,0,0,0,2,0.6,213,4.07,12,5300,57.35,68,240,11,class_3
218,2170,0,0,12636,0,0,0,0,2,0.5,219,3.89,29,897,66.65,146,423,10.1,class_3
258,1702,0,0,18806,0,0,0,0,2,1.1,414,3.44,80,1003,99,55,271,9.6,class_3
272,1525,0,0,14025,0,0,0,0,2,0.5,226,2.93,22,674,58,85,153,9.8,class_3
285,1401,0,0,16929,0,0,0,0,2,0.8,253,3.48,65,688,57,80,252,10,class_3
319,41,2,0,16802,0,0,1,0,2,5,338,2.93,234,1024,127,100,260,10.4,class_3
337,2286,2,1,20454,0,0,0,1,2,1.8,239,3.64,24,718,130.2,108,141,10,class_3
352,2716,0,0,19358,0,0,0,0,2,0.6,502,4.19,152,5184,83,139,330,9.9,class_3
359,2534,0,0,16802,0,0,1,0,2,0.8,201,2.89,41,598,272.8,180,419,10.6,class_3
371,489,2,0,18628,0,0,1,0,1,7.3,502,3.52,39,1282,220.1,103,265,11.1,class_3
384,1639,0,1,21550,0,0,1,0,2,1.3,198,3.4,57,1995,203.05,106,243,9.7,class_3
395,1329,0,0,13149,0,0,1,0,2,1.4,546,3.98,63,2870,237.15,117,402,11,class_3
