@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute value_25 numeric
@attribute value_26 numeric
@attribute value_27 numeric
@attribute value_28 numeric
@attribute value_29 numeric
@attribute value_30 numeric
@attribute value_31 numeric
@attribute value_32 numeric
@attribute value_33 numeric
@attribute value_34 numeric
@attribute value_35 numeric
@attribute value_36 numeric
@attribute value_37 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16}

@data
29,141,2.5,7.8,127,258,79,66.7,7.5,120,7.7,131,136,52.8,8.5,113,7.8,84,173,56,66.7,0.3,145,7.7,13,57,20,77.8,119,40.5,73.6,97.1,87.4,75.1,92.2,85.8,89.8,99.7,class_0
80,111,1,7.6,129,221,89,58,6.5,159,7.8,146,117,56.5,7,207,7.8,91,161,41,71.7,0.2,172,7.7,18,71,14,74.3,174,41.6,72.3,97.1,84.5,69.7,90,80.8,92.7,99.7,class_0
130,140,1.25,7.5,75,103,56,61.5,4.5,253,7.6,90,65,58.2,5,239,7.7,56,77,24,75,0.2,264,7.6,11,32,7,71.4,305,42.2,67.2,97,86,74.2,90.9,83.3,93.6,99.6,class_0
148,176,0.72,7.8,103,85,42,57.9,5.5,331,7.8,111,52,55.1,5.5,335,7.8,66,115,25,73.2,0.2,313,7.7,6,43,12,67.4,281,43.2,62.4,96.4,91.5,74.5,94.8,78.8,90,99.6,class_0
167,75,0.73,7.8,140,196,58,62.2,4.5,151,7.8,168,77,57.5,6,176,7.9,67,138,25,78,0.2,250,7.7,23,102,22,75.9,254,57.7,69.4,97.5,77.1,54.5,88.3,71.2,86.9,99.6,class_0
237,135,1.2,7.7,165,166,47,62,4.5,194,7.9,122,50,62.6,4.5,210,7.9,86,109,20,75.7,0.2,229,7.8,9,77,9,77.5,214,36.9,65.4,95.6,90.5,61.3,95.1,76.3,92,99.6,class_0
494,43,3,7.6,30,45,80,38.4,2.5,206,7.7,25,86,40,3.5,187,7.7,25,94,26,69.1,0.2,218,7.6,14,25,11,68.9,243,35.9,71,95.7,76,79,84.3,80.9,93.2,99.2,class_0
512,153,0.5,7.8,47,112,67,49.2,4.5,173,7.7,55,110,45.8,7,136,7.7,61,68,44,60,0.2,101,7.8,25,57,16,81.7,75,24.8,68.9,97.1,74.1,61.8,78.5,77,90.4,99.6,class_0
35,68,0.4,7.8,95,156,114,51.9,6.5,181,7.7,73,92,50.7,6,186,7.8,25,61,29,72.7,0.2,168,7.7,9,37,8,80,178,55.1,71.1,96.7,82.7,69.8,92.9,84.9,95.9,99.7,class_0
52,212,0.27,7.9,81,86,60,64.6,5.4,112,7.9,69,79,58.8,5.5,115,7.9,43,46,23,76.9,0.2,76,7.8,17,3,11,83.3,60,42.3,71.3,96.4,77.7,87.5,87.6,92.8,92,99.6,class_0
121,211,0.25,8.1,96,167,75,56.3,7.5,389,7.9,85,97,53.2,7,375,7.9,70,93,38,72.6,0.3,328,7.8,29,20,14,80,257,32.8,67.7,96.4,72.7,81,82.2,89.3,91.8,99.7,class_0
156,146,0.12,7.8,133,221,48,63.4,4.7,231,7.8,132,81,59.4,5.5,276,7.7,71,113,28,72.1,0.2,243,7.8,18,54,15,81.8,245,46.5,68.8,96.4,82,70.3,92.7,84.1,89.1,99.6,class_0
174,192,0.25,8,85,169,81,57.5,5.7,149,7.9,85,91,64.2,7.2,148,7.9,70,115,34,70.8,0.4,113,7.9,16,27,11,77.8,116,32.8,68.2,94.4,83.5,80.4,88.5,87.8,93.3,99.6,class_0
17,52,3,7.4,71,99,44,61.9,3,318,7.5,54,29,65.1,2.5,318,7.6,54,106,24,82.5,0.2,331,7.7,11,68,21,77.1,335,29.1,53.5,92,85.7,64.2,90.6,72.7,85.6,99.3,class_0
207,32,2.6,7.5,37,49,33,66.3,3,247,7.5,25,29,65.1,2,234,7.6,27,69,30,68.9,0,252,7.8,8,48,13,86,262,34.2,47.7,99,84.4,66.1,90.3,73.3,88.4,99.3,class_0
437,3,0.5,7.3,57,53,9,67.7,2,108,7.4,51,1,68.8,1.3,90,7.4,31,52,1,67.3,0.1,106,7.5,16,28,22,82.9,125,45.6,52.3,92.3,75.3,86.7,86.3,72.5,76.6,99,class_0
454,46,0.2,7.6,45,51,40,71,5,73,7.6,42,40,68,2.5,66,7.6,13,24,1,94.2,0.1,56,7.8,7,33,14,91.4,59,55.1,73.2,96,82,62.5,91.7,78.9,88.7,99.6,class_0
489,38,0.4,7.6,48,83,40,67.7,3,16,7.6,38,28,71.8,2.5,20,7.6,23,46,7,83.6,0.2,12,7.8,7,49,16,76.5,10,37.1,64.1,94,84.9,60.4,91.9,76.8,87.6,99.3,class_0
508,59,0.5,7.6,29,227,127,44.3,7.5,11,7.5,23,135,44.2,8,14,7.6,12,15,11,78.5,0.1,14,7.9,7,17,13,78,7,48.7,86.9,98.8,81,67.9,90.4,91.6,96,99.7,class_0
525,66,0.2,7.7,53,121,19,70.8,3,22,7.6,35,25,69.5,7.5,19,7.6,31,98,28,79.1,0.2,26,7.8,5,30,7,82.9,21,42.2,47.6,97.3,88.3,77.6,93.7,84.8,90.3,99.3,class_0
48,2,0.55,7.5,61,8,33,37.2,1.4,2,7.5,23,53,38.2,1,2,7.5,3,6,0,67.4,0.1,2,7.6,7,13,9,85,1,62.8,77.7,90,73.8,65.5,92.7,77.2,90.7,98.6,class_0
83,27,0.62,7.5,50,42,24,66.2,1.7,14,7.5,17,26,64,1.5,13,7.7,16,22,35,64.9,0.2,6,7.8,4,9,6,84.6,4,38.1,41.6,86.7,87.7,79,94.2,87.7,91.6,98.8,class_0
100,124,0.23,7.6,12,33,0,71.4,2,11,7.6,21,0,67.3,1.5,12,7.6,11,25,12,69.7,0.3,8,7.6,3,22,10,87.1,5,50.9,36.5,80,87,69.6,91.7,80.5,82.7,99,class_0
170,18,0.2,7.3,102,29,30,73.5,3,58,7.4,36,21,75.6,2.5,42,7.4,30,22,17,77.5,0.3,35,7.5,4,17,4,100,31,38.5,54.5,88,90,75.5,95.8,81.7,93.4,99.3,class_0
363,128,0.3,7.4,51,113,37,64.4,3,53,7.5,69,43,63,3.5,45,7.6,54,95,16,85.7,0.1,86,7.7,21,57,13,84,71,32.3,65,97.1,76.2,66.4,82,77.1,88.9,99,class_0
198,330,3,7.7,31,170,54,69.2,6.5,409,7.7,69,65,75.4,7.7,405,7.6,63,226,34,79.2,0.4,405,7.5,5,64,10,94.1,405,41.6,60.7,94.8,86.4,80.8,85.7,79.5,92.1,100,class_1
444,219,3.5,7.9,116,257,43,65.6,4.5,402,7.8,140,77,73.1,8.5,390,7.8,107,201,34,77.1,0.4,374,7.6,16,77,13,96.7,354,33.1,64.2,95.3,87.3,72.3,90.2,82.3,89.6,100,class_1
480,319,3,7.8,113,118,40,68.8,4.5,295,7.8,69,67,66.1,8.5,330,7.7,99,224,37,76,0.3,327,7.5,16,73,21,82.1,333,30.8,59.7,96.5,86.7,78.3,90.1,73.1,84.9,100,class_1
516,256,5,7.7,125,206,107,40.7,6,287,7.6,38,92,53.9,8,266,7.6,126,183,30,71.1,0.4,274,7.5,13,119,11,66.7,282,30,70.4,95.6,90.6,53.7,92.1,66.9,94.6,100,class_1
125,354,0.5,8.1,115,87,34,67.8,3,400,7.8,135,21,74.4,2.5,404,7.8,85,162,23,79.5,0.4,402,7.6,28,112,53,87.8,403,41.1,50,84,76.5,52.9,84.3,54.1,43.7,100,class_1
179,415,1.5,7.8,88,222,54,58.9,5.5,284,7.7,70,71,71.9,5.5,285,7.7,67,158,16,88.6,0.4,192,7.6,21,126,13,85,63,28,72.7,92.7,78.8,36.6,85.9,60.4,90.7,100,class_1
213,331,1.2,7.4,155,173,73,61.1,7,252,7.4,165,51,57.4,6.5,243,7.4,87,109,30,73.3,0.5,222,7.3,10,0,13,82.5,192,49.8,58.3,92.3,89.9,96.8,94.4,98.1,92.1,100,class_1
267,370,3,7.6,93,160,54,57,7,277,7.5,124,67,58.1,5.5,231,7.5,121,201,29,65.9,0.4,253,7.5,19,93,18,68,278,20.1,64.5,93.6,86.9,68.1,87.4,72.2,88.3,100,class_1
301,389,8.5,7.5,50,87,67,55,3.8,63,7.5,59,35,67.4,4,71,7.5,57,47,25,85.4,0.4,78,7.1,12,35,10,94.1,105,29.4,55.4,91.3,85.2,68,88.4,81.4,92.9,100,class_1
337,426,3,7.8,66,128,97,49.4,6,361,7.7,150,93,49.4,6.5,382,7.7,70,141,43,72.2,0.6,367,7.6,11,60,16,69.7,362,52,64.9,90.8,87.6,71.2,90.3,77.6,92.5,100,class_1
355,363,1,7.6,90,128,31,69,3.5,124,7.8,107,79,72.1,6,184,7.8,97,141,31,78.3,0.3,207,7.9,12,56,13,85,200,26.7,66.2,95,89.2,72.5,91.1,78.7,88.1,100,class_1
370,373,3,8,56,136,43,66.7,4.5,392,8,118,63,61.7,6,371,8,89,126,26,78.6,0.4,391,7.8,11,60,14,81,393,34.3,65,94.2,89.3,69.7,89.7,78.1,89.1,100,class_1
404,347,1.4,7.9,109,187,61,64.9,4.6,211,7.6,146,79,64.7,7.5,286,7.8,123,157,29,81.8,0.2,257,7.8,13,75,15,81.8,232,27.2,67.6,97.3,90.4,68,91.4,78,90.4,100,class_1
197,402,4.25,7.8,21,100,15,76.5,2.5,54,7.8,38,37,74.5,2,81,7.8,72,155,36,69.4,0.4,112,7.5,15,40,17,83.3,102,6.8,47.9,80,84.6,78.9,80,80.8,82.4,100,class_1
426,42,3,7.6,71,119,31,69,3.1,45,7.6,125,66,69.9,4.6,51,7.6,75,138,45,75,0.2,60,7.4,15,52,21,82,55,42.7,54.5,95.7,84.9,73.6,88.1,78.9,83.3,100,class_1
442,295,1,8.1,116,208,43,70.8,4,225,8.1,69,43,72,5.5,239,7.9,144,221,57,79.1,0.3,206,7.7,28,87,30,83.8,134,13.8,33,94.5,85.3,73.7,84.4,76.8,80.7,100,class_1
478,322,1.5,7.9,90,95,33,65.1,3.8,187,8,54,21,74.4,4,201,7.8,104,140,28,81.4,0.2,208,7.5,22,70,28,82.9,230,41.6,44.9,95,83.2,67.8,85.5,71.8,79.7,100,class_1
496,178,2,8,77,134,35,70.5,4,133,8,83,37,70.2,5.5,183,7.8,113,197,30,77.8,0.2,213,7.5,22,79,24,83.9,215,7.3,52.1,96.4,84.2,71.2,84.3,73.2,82.4,100,class_1
515,263,3.5,7.9,34,179,39,67.4,4,115,8.1,110,37,68.1,5.5,111,7.7,116,169,30,77.8,0.2,168,7.6,20,71,25,81.3,203,18,52.1,96.4,85.7,70.6,80,78.5,82.6,100,class_1
107,208,1,7.7,118,158,43,75,4.5,210,7.7,100,61,74.6,7,178,7.7,128,170,40,80.8,0.4,246,7.4,23,51,26,84.8,291,4.6,55.9,94.3,85.5,76.6,87,81.7,82.8,100,class_1
124,215,1.2,8,143,68,61,75.4,7,251,8,136,69,77.8,8,256,7.8,113,178,31,80.4,0.3,233,7.6,21,97,18,90.6,218,28.9,63.5,96.9,84.8,63.8,89.4,72.1,89,100,class_1
247,360,3.5,8.1,81,229,58,67.6,5.8,280,8.1,134,67,66.1,7.5,248,7.9,103,139,34,77.1,0.5,248,7.4,25,49,18,84,204,33,61.3,93.3,81.2,74.7,88.8,85.5,88.7,100,class_1
266,364,1.5,8.1,117,207,42,68.4,5.2,192,8,125,55,69.6,6,245,8.1,124,193,31,80.4,0.4,251,7.7,12,59,19,82.1,272,19.1,58.9,93.3,91,76.3,92.2,82.4,86.3,100,class_1
353,446,3,7.8,75,121,44,68.5,5,374,7.8,146,81,62.3,7.5,396,7.7,46,163,25,68.3,0.4,390,7.6,7,39,8,93.3,399,38.9,70.3,94.7,81.7,79.8,88.4,82.4,92.3,100,class_1
191,296,1.4,7.9,76,193,32,76.5,4,181,7.9,198,39,70.8,4.5,195,7.9,105,197,34,72.9,0.3,161,7.6,18,70,11,80.6,235,44.8,50,94.4,85.9,73.6,86.7,79.4,89.4,100,class_1
420,110,3,7.8,98,183,37,67.8,5.2,344,7.9,124,61,66.1,5.5,361,7.8,132,188,37,80,0.3,294,7.5,24,78,23,82,275,13.2,57.6,95.5,85.3,70.4,85,77.2,83.3,100,class_1
260,476,5,8,153,171,30,73.5,3.5,315,8.1,112,34,65.9,3.5,317,7.9,122,191,45,76.8,0.4,327,7.6,23,25,22,86.2,333,15,38.5,88.6,84.7,85.6,89.1,88.3,82.5,100,class_1
277,473,5,7.9,68,159,49,53.9,4,372,7.7,92,68,52.8,4.5,351,7.8,145,142,30,68.9,0.4,320,7.5,15,46,11,75,343,34.7,64,92.2,91.3,75.9,87.9,82.9,91.2,100,class_1
294,405,4.5,7.7,90,152,26,68.4,2.5,130,7.7,105,23,68.8,3.5,127,7.8,127,201,44,70.9,1,178,7.4,19,102,10,88.2,176,8.5,31.3,71.4,87.4,63.8,87.2,67.6,89.2,100,class_1
313,345,2,7.6,89,149,41,60.6,4.5,145,7.6,79,26,69.9,3.5,134,7.6,112,197,41,69.8,0.4,138,7.3,18,104,13,70,126,5.7,36.1,88.6,86.6,62,87.6,66.3,89.4,100,class_1
398,350,2,8.1,88,143,33,58.1,2.5,187,8,135,67,54.8,4.6,225,8,130,202,43,72.2,0.7,250,7.5,23,68,19,76.9,258,18.6,56.5,84.8,85.6,74.9,84.7,76.7,84.9,100,class_1
79,299,1.2,7.8,110,141,63,53.4,5,152,7.8,220,139,43.4,11,175,7.7,92,138,46,61.4,0.4,226,7.6,21,58,12,65.3,193,65.6,79,96.4,82.5,71.6,87.4,79,91.8,100,class_1
97,395,3,7.7,50,38,122,22.8,4,37,7.6,66,143,26.7,7.5,44,7.6,50,35,53,47.6,0.5,72,7.6,18,32,9,68.8,91,36.9,78.4,93.3,78.2,66.5,84.1,77.2,96.5,100,class_1
147,204,1,7.5,104,94,77,50.8,3,28,7.6,134,126,44.3,6,39,7.6,81,71,69,50.6,0.4,36,7.3,21,47,15,69.1,101,42.6,59,93.3,83.3,74.2,94.3,84.1,91.5,100,class_1
255,214,8,7.7,121,205,81,53.7,5.8,109,7.9,160,108,57.5,8.5,136,7.7,100,144,29,79.5,0.2,149,7.7,11,36,5,83.3,155,43,74.7,97.6,90.1,79.4,92.9,87.1,95.5,100,class_1
288,323,1.2,7.5,111,139,39,64.1,2.8,77,7.5,93,52,63.3,3,82,7.5,71,81,30,77.8,0.2,105,7.7,13,37,10,76.5,153,35.1,58.7,95,86.1,72.5,91.5,84.1,90.8,100,class_1
306,334,3,7.8,127,100,33,69.8,3.5,225,7.8,79,47,65.4,4,238,7.8,47,103,23,76.9,0.2,173,7.9,8,65,13,80,109,43.7,62.5,95,81.6,64.8,86.8,73.6,88.4,100,class_1
325,423,7,7.7,161,274,138,31.5,22,235,7.8,117,141,36.4,12.5,209,7.9,84,60,43,57.4,0.2,171,8,12,29,8,73.3,181,36.3,81.1,98.4,88.1,73.3,93.8,91.6,98.5,100,class_1
342,329,1.2,7.8,94,180,63,65.5,5,132,7.8,103,51,55.6,4.5,123,7.9,56,107,26,57.1,0.2,147,7.8,15,33,5,75,111,46,61.1,96.7,82.2,77.4,89.6,86.8,94.8,100,class_1
359,195,0.7,7.9,94,122,43,62.5,4.5,168,7.8,101,51,55.6,6,197,7.8,77,110,14,70.6,0.1,196,8,9,36,8,66.7,166,34.7,68.5,98.3,89.8,76.7,92.9,83.4,92.2,100,class_1
376,226,0.8,7.7,96,118,29,61,3,291,7.8,115,39,64.6,3,247,7.8,73,118,20,72.9,0.1,235,7.9,14,51,8,66.7,239,41,61.5,96.7,85.5,71.9,90.3,79,90.9,100,class_1
519,383,1,8,195,194,51,65.4,5.5,384,7.9,212,51,64.8,5.5,393,7.6,136,181,48,74.6,0.5,392,7.5,20,64,25,84.4,393,48.7,45.4,91.8,87.9,73.9,93.2,80.7,84.6,100,class_1
44,378,1.2,7.9,102,105,43,62.5,7,214,7.9,130,85,55.6,10,212,7.7,79,100,26,71.4,0.1,227,7.6,24,76,27,76.5,229,42.5,70.8,99,78.5,59.9,85.3,71.1,82.3,100,class_1
77,337,1.2,7.9,174,47,28,59.3,3,20,7.9,95,32,58.4,2.8,24,7.8,66,61,23,76.9,0.1,30,7.7,24,47,18,88,46,38.4,56.2,98.2,76.1,65.1,90.1,73,84.6,100,class_1
95,336,0.6,8,126,233,71,61.3,6.3,95,8,221,53,65.5,5,140,7.8,89,172,59,63.8,1.5,87,7.7,19,67,15,84.1,61,67.4,37.3,70,83.6,72.1,89.4,82.2,91.1,100,class_1
112,288,0.7,7.8,74,191,48,57.4,4.5,248,8,189,87,58.9,7,278,7.8,95,186,71,55.7,0.2,156,7.7,10,73,12,86.8,148,54.2,21.2,97.1,90.4,71.7,91.4,78.6,90.6,100,class_1
128,276,1.2,7.8,127,214,71,56.5,6.5,110,7.8,72,92,57.9,7.2,132,7.8,98,170,36,77.6,0.2,203,7.6,11,50,13,75,188,35.9,67.8,97.2,69.8,76.9,89.4,84.6,91.9,100,class_1
145,160,2.5,8,193,181,90,59.7,7.5,135,7.9,30,108,63.2,9,162,7.9,12,199,62,72.6,2,178,7.8,15,61,12,78.9,212,51.4,58,77.8,69.8,76.3,94.5,80.7,93.4,100,class_1
165,220,0.8,7.7,202,235,52,65.7,5,253,7.6,218,55,58.9,6,269,7.8,142,191,36,65.3,0.2,230,7.7,9,101,6,50,252,48.7,56.3,96.7,93.8,63.3,97,75.2,93.8,100,class_1
216,106,1.5,7.8,85,141,43,63.5,3.5,51,7.7,87,48,61,4.5,54,7.7,89,89,40,76.9,0.4,57,7.7,9,28,11,83.3,81,23.1,50.5,91.1,90.7,77.4,92.5,86.4,90.6,100,class_1
234,294,2,7.7,188,121,39,57.6,4,116,7.7,173,61,45.8,3.5,115,7.8,51,98,26,73.8,0.2,104,7.8,11,20,6,69.2,71,64.5,64.4,94.3,85.3,81.6,95.4,87.5,92.9,100,class_1
253,388,1,7.6,95,28,101,30.4,3,61,7.7,69,106,29.1,4,72,7.6,71,63,31,63,0.2,79,7.6,23,68,32,59,87,25.2,73.3,95,77.9,55.6,85.3,60.1,87.7,100,class_1
270,486,3,7.8,70,26,92,32.9,3,82,7.8,87,106,32.6,4,76,7.9,60,66,37,52,0.3,116,7.8,8,11,7,77.1,135,39,70.9,93.8,89.2,83.5,92.5,84.6,95.2,100,class_1
286,418,1,7.9,172,85,37,55.6,3,186,7.9,95,43,60,2.5,191,7.9,67,102,21,76.3,0.3,214,7.7,21,82,17,75,190,37.9,62,90,78.8,58.1,90.9,67,86.7,100,class_1
305,404,1.2,8.4,46,63,51,57.7,3.3,89,8,65,81,60.9,3.5,102,8,65,81,24,77.5,0.2,133,7.9,12,39,13,80,159,27,71,94.3,86.2,71.7,88.1,78.1,90.4,100,class_1
340,478,0.7,7.6,44,13,33,46.5,2.5,22,7.7,115,39,46.9,2,21,7.7,51,35,21,78.9,0.1,38,7.7,13,51,14,87.6,61,51.4,60.4,95,83.3,55.7,87.1,58.5,87.8,100,class_1
357,454,1.2,7.8,44,58,35,45.5,1.5,82,8,39,29,44.2,1.3,57,7.9,47,92,26,61.9,0.3,70,7.6,20,36,9,68.8,34,26.3,51.2,80.8,75.5,74.4,81.8,78.8,90.9,100,class_1
405,436,2,7.9,134,205,122,48.2,11,85,7.9,59,69,49.2,4,116,8,59,94,31,67.4,0.4,120,8,11,11,10,82.4,100,28.1,63.5,91.3,86.4,85.5,93.3,92.6,96.3,100,class_1
430,455,2,7.7,86,77,35,58,3.5,165,7.8,103,39,58.3,4,206,7.7,90,121,21,78.9,0.3,152,7.5,8,40,4,100,147,28.8,60.4,92.5,91.5,76.2,93.1,79.1,93.8,100,class_1
446,445,2,7.9,73,99,25,64.1,3.1,169,7.9,132,69,65.1,5.9,194,7.9,84,166,44,78.2,0.7,183,7.7,13,98,7,92.9,205,40.8,56.3,88.1,87.4,61.4,89.5,63.5,91,100,class_1
464,491,1.75,7.9,47,73,37,53.5,3.5,180,7.9,86,77,59.7,4.6,205,7.6,63,125,40,71.2,0.5,223,7.8,10,64,15,86.4,265,37,61.2,89.1,87.7,68.1,89.6,71.3,87.8,100,class_1
500,275,1.5,7.9,17,80,8,77,3.5,41,7.9,20,6,93.5,3.7,53,7.8,31,75,10,96.9,0.4,33,7.7,11,47,4,100,39,25.7,48.4,89.2,81.5,67.4,83.5,77.2,91,100,class_1
42,412,2.5,7.8,166,94,48,58.4,2,160,7.7,152,29,69.8,2,143,7.8,79,182,49,66.7,0.4,220,7.7,8,50,9,87.5,220,48.8,30.2,80,90.8,77.9,95.5,77.5,92.1,99.7,class_1
251,254,15,7.5,8,3,18,39.4,2,10,7.6,33,29,46.5,1.8,5,7.6,23,10,8,67.7,0.3,11,7.3,5,8,5,80,8,42.5,64,86.1,87.7,74.2,88,75.9,91.5,100,class_1
14,58,1,7.3,49,136,41,57.4,4,95,7.3,70,45,58.8,4.3,90,7.3,31,55,8,64.5,0.1,93,7.4,5,39,3,70,127,50.6,69.6,97.6,88.9,67.6,93.4,83.4,94.7,100,class_1
204,339,0.75,8.1,98,205,55,55.6,6.5,403,8,96,69,49.2,5,395,7.9,79,143,12,72.7,0.2,387,8,24,53,14,70.5,387,31.9,73.8,96,78.5,73.7,85,83.6,90.3,100,class_1
394,292,3.5,7.6,43,165,124,27.7,4.5,283,7.8,57,124,28.8,5,234,7.8,63,109,23,56.4,0.1,271,7.9,9,63,9,68.8,287,24.5,81.3,98,88.6,66.5,90.1,79.4,96.6,100,class_1
435,301,1.25,7.7,56,124,31,54.8,3.5,337,7.9,85,35,56.5,3,344,8.1,62,111,16,65.7,0.2,359,8.1,11,61,8,73.3,363,37.2,62,95,86.7,67.5,89.7,77,91.1,100,class_1
451,265,0.9,7.7,67,129,25,53.8,3.5,177,7.8,67,29,58.1,3,201,7.9,65,125,12,72.7,0.3,224,7.9,7,59,7,50,206,28,61.6,91.7,90.5,69.8,92.9,78,91,100,class_1
469,133,0.8,7.7,87,154,35,61.4,4,388,7.7,81,41,59.2,3.5,384,7.7,69,114,18,63.9,0.3,387,7.8,10,55,9,68.8,384,31.8,63.3,91.4,88.3,70.1,92,80.6,90.9,100,class_1
505,255,4.5,7.5,27,93,75,46.9,4.2,377,7.4,14,62,47.9,3,398,7.5,44,96,25,75.6,0.2,364,7.6,14,87,20,74.1,407,5.9,65.5,93.3,81.1,54.6,83.9,66.6,89.5,100,class_1
522,342,5,7.8,55,109,57,53.6,4.5,333,7.8,22,61,54.2,3.3,329,7.8,10,87,23,64.1,0.2,310,7.6,10,47,13,70,300,52.7,66.9,93.8,73.6,69,90.3,79.5,90.9,100,class_1
30,399,12.5,7.8,72,81,81,44.8,4.5,272,7.9,58,47,54.8,5,295,7.9,26,33,20,64.9,0.2,304,7.8,19,84,19,76.9,320,50,64.4,97,69.7,35.8,85.7,66,90.3,100,class_1
46,262,2.5,7.7,47,65,58,46.8,3.5,63,7.7,41,68,55.2,3.5,83,7.8,56,102,34,72.9,0.2,91,7.9,10,69,11,68.9,83,20.7,61.6,94.3,86.9,63.1,89.6,68.4,91.9,100,class_1
63,150,2.5,7.7,100,149,71,58.1,5.5,163,7.7,99,69,63.5,4.5,364,7.8,63,143,40,71.2,0.2,208,7.8,23,81,19,76.9,200,41.2,58.7,95.6,76.3,64.5,85.7,74,89.5,100,class_1
81,157,1.75,7.6,125,235,87,63.8,5.3,220,7.6,151,88,61.5,5,217,7.8,69,158,30,75.6,0.2,201,7.8,13,65,8,75.3,210,52.6,69.6,96,85.8,71.3,92.1,82.7,94.7,100,class_1
115,76,1,7.7,61,90,38,71.4,3,100,7.7,25,38,68.4,2.5,101,7.7,57,99,8,64.9,0.5,139,7.8,14,58,13,76,181,7.7,67.4,80,83.3,66.8,88,74.8,89,100,class_1
131,252,1,7.9,100,156,79,55.3,4,394,7.8,95,98,54.7,5.5,392,8,68,95,30,66.7,0.4,381,8,12,41,14,78.1,356,37.4,71.7,93.6,86.6,72.8,91.5,84,92,100,class_1
149,234,2.5,7.9,93,127,83,43.4,3.5,316,7.9,72,74,48.1,4,320,7.9,59,114,25,51.2,0.2,319,8,14,44,11,53.3,338,33.7,68.7,96.3,83.6,74.1,90.1,81.7,93.4,100,class_1
168,112,1,7.7,178,250,109,52.8,8,407,7.7,187,112,54.2,8,407,7.7,71,143,23,89.7,0.2,406,7.9,14,89,8,93.3,404,61.1,78.2,98.1,85.2,61.8,93.8,79.5,95.7,100,class_1
220,113,2,7.7,151,264,118,53.7,6,385,7.8,145,129,54.1,8,386,7.9,88,186,67,45.9,1.8,380,8,14,77,19,72.3,392,42.6,62.4,77.5,87.1,70.5,92.6,82.9,93.2,100,class_1
308,166,2,7.7,143,267,134,29.5,8,276,7.7,145,147,31.8,9.5,293,7.7,43,92,73,23.8,0.2,268,7.9,12,63,41,29.2,287,61.2,65.9,98.4,83,63.4,93.2,85.3,92.5,100,class_1
408,300,2,8.1,62,61,81,47.8,3.5,322,8,66,67,59.7,3,340,8,35,86,26,69,0.2,317,8.2,8,68,10,77.6,294,46.9,66.1,93.3,85.9,53.8,92.1,72.2,93.7,100,class_1
417,127,0.4,7.5,131,129,77,46.2,4.3,383,7.5,78,65,52.5,4.5,377,7.5,61,103,20,78.4,0.2,370,7.6,13,98,13,78,372,35.3,69.7,96.7,84.8,51.3,92.3,67.5,92.3,100,class_1
472,279,1.3,7.6,83,132,60,51.3,5.5,157,7.6,102,91,47,4,143,7.7,68,100,31,65.2,0.2,177,7.8,10,47,6,70.8,202,39.6,69.5,96.3,88.2,71.2,91.9,81.2,94.2,100,class_1
49,309,5,7.6,57,31,29,57.3,3.2,65,7.6,98,47,55.8,3,64,7.6,19,27,28,76.7,0.3,64,7.7,2,32,7,82.9,58,64.8,58.7,91.7,91.2,64.2,95.9,75.7,91.5,100,class_1
84,243,2.5,7.9,116,233,79,61.4,6.5,410,7.9,125,101,60.5,6,408,7.8,60,162,30,73.3,0.3,401,7.8,7,35,2,62.2,401,49.5,72.2,95,90.1,68.2,94.6,70.7,96.6,100,class_1
101,374,3.3,7.8,31,112,125,27.2,4.2,413,7.8,41,144,32.3,7,411,7.7,31,40,41,49.1,0.2,409,7.8,8,40,5,75,411,40,82.9,97.1,85.2,63,89.7,81.7,97.6,100,class_1
135,1,3.6,7.6,59,137,132,31.6,7,263,7.6,139,149,28.6,11,249,7.6,9,19,49,48.3,0.4,130,7.7,7,27,2,80,129,79.1,85,96.8,77.6,64.2,92.6,86.5,98.4,100,class_1
152,485,2.71,7.8,69,36,44,47.4,3,343,7.8,123,63,46.7,4,349,7.8,43,50,36,59.2,0.3,352,7.7,6,39,2,75.6,346,56.9,59.2,92.5,89.4,66.7,93.7,74.2,95.4,100,class_1
241,441,1.6,7.7,114,106,58,58.6,3,342,7.6,120,47,73.1,5,343,7.6,47,30,28,65.1,0.2,358,7.6,5,46,6,82.5,361,54.4,58.7,96,90.8,56.8,95.6,79.6,94.1,100,class_1
276,291,1.14,7.8,110,122,69,55.7,5,224,7.8,21,41,60.2,3.5,214,7.8,53,55,47,72.4,1.5,215,7.9,9,16,8,74.7,222,5.5,40.8,57.1,87.5,78.9,93.5,88.7,93.9,100,class_1
